case,input_y_mm,output_x_mm,output_y_mm,bar_error_mm,ground_error_mm,drive_error_mm,branch_error_mm,inverse_error_mm2,collinearity_error_mm2,output_error_mm,straight_error_mm
broken,9,90.12007407218935,11.610610345362259,1.4210854715202004e-14,1e-20,0.0,1.4210854715202004e-14,1.8189894035458565e-12,7.958078640513122e-13,3.102273850532274e-14,1.3084973563820768
broken,10,90.1150026848493,12.950677755006918,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.3135687437221293
broken,11,90.10930387047411,14.307549822211145,4.050356494644802e-09,0.0,0.0,0.0,1.60367380885873e-06,2.2802169041824527e-09,2.2861906796803705e-08,1.319267558097323
broken,12,90.10294568680393,15.683459480066276,2.842170943040401e-14,0.0,0.0,1.4210854715202004e-14,9.094947017729282e-13,6.821210263296962e-13,2.0097183471152322e-14,1.325625741767496
broken,13,90.095891222918,17.080830804854198,4.263256414560601e-14,1e-20,0.0,0.0,9.094947017729282e-13,1.8189894035458565e-12,3.552713678800501e-14,1.332680205653432
broken,14,90.08809761277486,18.502314640572845,4.973799150320701e-14,1e-20,0.0,0.0,9.094947017729282e-13,2.9558577807620168e-12,5.54951617168815e-14,1.340473815796571
broken,15,90.07951520952402,19.950831408448042,6.394884621840902e-14,1e-20,0.0,0.0,9.094947017729282e-13,3.183231456205249e-12,4.832213032818602e-14,1.3490562190474122
broken,16,90.07008639809844,21.42962301591255,8.526512829121202e-14,1e-20,0.0,0.0,1.8189894035458565e-12,4.320099833421409e-12,7.791709393054201e-14,1.3584850304729912
broken,17,90.05974413932424,22.942316538088075,1.2079226507921703e-13,4e-20,0.0,0.0,4.547473508864641e-12,6.821210263296962e-12,1.180976748471683e-13,1.3688272892471929
broken,18,90.04841013465527,24.49300324414737,1.7053025658242404e-13,1e-20,0.0,1.4210854715202004e-14,4.547473508864641e-12,1.000444171950221e-11,1.6202867315927533e-13,1.38016129391616
broken,19,90.03599248958744,26.086337871109805,2.7000623958883807e-13,2e-20,0.0,2.842170943040401e-14,3.637978807091713e-12,1.432454155292362e-11,2.2300177457843823e-13,1.3925789389839878
broken,20,90.0223827046871,27.72766497800469,3.907985046680551e-13,5e-20,0.0,4.263256414560601e-14,1.1823431123048067e-11,2.205524651799351e-11,3.5571517988054753e-13,1.406188723884327
